memset 0x002bfe8c
RegisterScriptGroupType__3DLLP12WORLD_ASSETSiPFPQ23DLL11COLLIS_INFO_vPFPQ23DLL19ScriptGroupInitInfo_v 0x00174340
Draik_GetLeftLegIdx__3DLLv 0x0017c048
Draik_GetRightLegIdx__3DLLv 0x0017c058
Draik_GetTailIdx__3DLLv 0x0017c068
Draik_GetLeftWingIdx__3DLLv 0x0017c0a8
Draik_GetRightWingIdx__3DLLv 0x0017c0b8
Draik_GetRightArmIdx__3DLLv 0x0017c098
Draik_GetLeftArmIdx__3DLLv 0x0017c088
Draik_GetChestIdx__3DLLv 0x0017c078
Draik_GetHeadIdx__3DLLv 0x0017c0c8
GetLocatorPositionPointer__3DLLi 0x0017b550
QueryGameState__3DLLi 0x00176da0
FrontendHUDReset__3DLLv 0x0017cc68
Sleep__3DLLi 0x00172e68
Wait__3DLLf 0x00172eb8
WaitTillLeaveTrigger__3DLLPQ23DLL11COLLIS_INFO 0x00172f20
WaitTillLeaveTriggerWithDelay__3DLLPQ23DLL11COLLIS_INFOi 0x00172f80
IsAnimatedCameraActive__3DLLi 0x00172ff8
IsAnimatedCameraActiveAndFinished__3DLLi 0x00173090
IsDebugMode__3DLLv 0x0017d170
PlayTrackAnimObjCamera__3DLLiiQ23DLL11WAIT_OPTIONQ23DLL11CAMERA_WAITf 0x001732a8
PlayLookAtAnimObjCamera__3DLLiiQ23DLL11WAIT_OPTIONQ23DLL11CAMERA_WAITf 0x001732e0
PlayLookAtPlayerCamera__3DLLiQ23DLL11WAIT_OPTIONQ23DLL11CAMERA_WAITf 0x00173318
PlayTrackAICamera__3DLLiiQ23DLL11WAIT_OPTIONQ23DLL11CAMERA_WAITf 0x00173348
PlayTrackHeroCamera__3DLLiQ23DLL11WAIT_OPTIONQ23DLL11CAMERA_WAITf 0x00173378
PlayCamera__3DLLiQ23DLL11WAIT_OPTIONQ23DLL11CAMERA_WAITf 0x001733a8
EndCameraTrackHeroMode__3DLLv 0x001733d8
SetCameraToTrackHeroMode__3DLLi 0x00173420
PlayAnim__3DLLiQ23DLL11WAIT_OPTIONf 0x001735a0
SetSpeedFactor__3DLLif 0x00173678
LoopAnim__3DLLifP12WORLD_ASSETS 0x001736f0
