YarareInitCube__FP3cEmffffffsUs 0x0019e418
endEvent__8cSubCharUi 0x00163188
SetBarrel__FUiUiP6tagVecT2UcUc 0x001c95d8
getRoomEtcBarred__FUiPP9cEmBarredi 0x002022e8
setDamage__11cObjGondola 0x001448b0
Em37HairMove__FP3cEmP10CLOTH_INFO 0x001bc178
initCloth__8cSubChar 0x00165458
getReloadRatio__FUsi 0x0011a0e8
PushEsp__FP4cEsp 0x001ea058
initTimeFrame__9CountDowni 0x001b0730
GetPartsAddr__FP6cPartsUi 0x0022e7a0
sellPrice__8MerchantUsi 0x0012a9d0
levelNew__8MerchantUs 0x00129a88
SceMesSet__FUiUiScii 0x00270c00
setOff__10cObjLadder 0x0012fb38
ckSwitch__9cEmSwitch 0x001e3e88
setModel2__9cLightMgrP6cModel 0x00223ba0
searchItemModelData__FUsP15ITEM_PIECE_INFO 0x0025e738
SceExit__Fv 0x00274868
EspGetEstAddr__FUiUci 0x001b81f8
_6cModel$pm 0x0032535c
MotionGetMaxFrame__FP11MOTION_INFO 0x00232208
setThrow2__7cEmRockP6tagVecP8ATK_INFO 0x001de9d8
SndEndCheck__FUi 0x0016eb20
IsGanado__Fi 0x001bb630
IdSub 0x00417970
MesData 0x003d0f58
QuakeKill__FUi 0x00261d78
strcat 0x002af60c
Muku3__FfP6tagVecf 0x002778f8
setThrow__10cObjPillarUiUiUiUiUi 0x00147140
SetYagura__FUiUiP6tagVecT2 0x001513d8
setRide__11cObjGatlingP3cEm 0x00134950
GetPlPos__FP6tagVecfP3cEm 0x001c6b10
leonJacket 0x00432408
unitPtr__8IDSystemUc8ID_CLASS 0x0021c648
frameIn__9LifeMeter 0x001aefc8
trans__11ItemExamine 0x00209988
EvtReadExec__8EventMgrPCcUcUi 0x00206280
setAramSort__9cDataCtrlb 0x001b2318
stockDataAdd__FP13MERCHANT_DATAP10STOCK_INFOUi 0x00128f10
PlSetLockPitch__FP7cPlayer 0x0024f0e0
GameAddPoint__F5LVADD 0x0021ad10
PlGachaMove__Fv 0x0024ada8
piecePtr__9pzlPlayerP5cItem 0x00260160
movePiece__9pzlPlayer 0x00260ad0
moveAll__7cObjWep 0x001512c0
setFall__6cEmWepUcP6tagVecf 0x001156b0
SetGondola__FUiUiP6tagVecT2 0x001438f0
disp__9CountDownb 0x001b04f0
init__7cSubWepP6tagVecf 0x0014ccb0
EmDmBloodSet2__FP3cEmUiUiUiUsUi 0x001be688
EmAtkHitCk__FP8ATK_INFOP6tagVecT1Ui 0x001c2c18
clearParent__7cEmTree 0x001e7140
setBreakR11E__7cEmRock 0x001e1368
setParent__6cLightP6cModel 0x00225170
OpeMdtSetInit__Fv 0x00174ec0
GetFree__F14SAVE_FREE_WORK 0x00270bd0
EvtFree__8EventMgrPCc 0x00206740
RouteCkPosToPosDis__FP6tagVecT0 0x00265780
setParent__11cObjMissileP3cEmUiUi 0x00145d10
ItemGetBinTplAddr__FUcPUiT1 0x002214e0
FileExistCheck__4cDvdPCcPUi 0x001b5c98
setShock__7cEmRack 0x001db890
EmYarareContactCk__FP3cEmP6tagVecfT1 0x001c21b8
